Turn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Allied States Of America,1,2,3,4,5,5,5,6,7,8,10,12,12,14,19,22,26,28,31,31,33,34,37,37,37,37,37,37,37,37,37,37,37
Capitalism Works!,1,1,2,3,4,7,8,8,10,11,13,17,21,21,24,25,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33,35,35
Mississippi Trade Co.,1,2,5,7,7,10,15,18,19,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23
Threads Of Azj-Kahet,1,2,3,4,5,6,7,9,10,11,13,13,14,14,16,18,19,19,23,25,25,27,27,27,27,27,27,27,27,27,30,30,30
Doofenshmirtz Evil Incorporated,1,2,2,3,4,4,5,5,6,7,10,11,14,16,19,21,26,27,27,27,27,27,27,27,27,27,27,27,27,27,24,24,24
Would You Like Fries With That?,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3,0,0
Peener Pee-Pee Land,1,2,3,4,5,5,6,6,8,9,10,10,11,12,15,17,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Skibidi Supremacy,1,2,2,3,4,5,5,6,7,8,10,12,15,18,21,22,27,31,34,37,37,37,37,37,37,37,37,37,37,37,37,38,38
