Turn,0,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25,26,27,28,29,30,31,32
Allied States Of America,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4,6,7,8,9,10,11,11,11,12,14,18,20,21,23,23
Capitalism Works!,0,0,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,6,6,6,7,7,7,8,8,8,8,8,10,12,12,13,13,13,14,15
Mississippi Trade Co.,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,4,5,5,5,7,7,7,7,7,8,8,8,9,9,10,10,13
Threads Of Azj-Kahet,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4,6,7,8,8,8,9,11,12,13,14,14,15,15
Doofenshmirtz Evil Incorporated,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,5,5,6,6,6,7,8,9,9,10,10,10,11,12,12,12,13,15,15
Would You Like Fries With That?,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6
Peener Pee-Pee Land,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,5,5,7,7,7,7,7,7,8,9,9,9,9,9,9
Skibidi Supremacy,0,0,0,1,1,1,1,1,2,2,5,5,5,5,6,6,6,6,6,8,8,9,10,11,12,12,13,13,13,15,15,15,16,17,17,17
