War ID,Player #1 Info,Player #2 Info,Player #3 Info,Player #4 Info,Player #5 Info,Player #6 Info,Player #7 Info,Player #8 Info,Player #9 Info,Player #10 Info,War Name,War Start,War Status,War Log,War End
ID #,"['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']","['War Role', 'War Justification, 'Battles Won', 'Battles Lost', 'Unit Casualties', 'Improvements Lost', 'Justification Details']",Name,Turn #,Ongoing/Attacker Victory/Defender Victory/White Peace,[],Turn #
1,-,-,"['Main Defender', 'Border Skirmish', 9, 10, 2, 5, 'STWAL,WESAL,STEAL']","['Main Attacker', 'Border Skirmish', 10, 9, 7, 0, 'MSGUL,CENMS,NEWOR']",-,-,-,-,-,-,Threads Of Azj-Kahet - Mississippi Trade Co. Conflict,10,White Peace,[],24
2,-,"['Main Attacker', 'Border Skirmish', 21, 6, 3, 6, 'REDCA,GREEN,CHOCT']",-,-,-,"['Main Defender', 'Border Skirmish', 6, 21, 8, 3, 'TXPAN,GRTPL,METRO']",-,-,-,-,Capitalism Works! - Would You Like Fries With That? Conflict,18,Attacker Victory,[],31
3,-,-,-,"['Main Attacker', 'Border Skirmish', 12, 2, 0, 0, 'CUMBE,STWVA,CHARL']","['Main Defender', 'Border Skirmish', 2, 12, 3, 4, 'EASTN,MOUNT,MTRLA']",-,-,-,-,-,Threads Of Azj-Kahet - Doofenshmirtz Evil Incorporated Conflict,26,Attacker Victory,[],30
4,-,-,-,-,-,"['Main Defender', 'Animosity', 1, 0, 2, 1]",-,"['Main Attacker', 'Conquest', 0, 1, 0, 0, 'CHOCT,NTWAR,STWAR,GREEN,STHKS']",-,-,Skibidi Supremacy - Would You Like Fries With That? War,29,Attacker Victory,[],31
5,-,-,-,"['Main Attacker', 'Conquest', 0, 1, 0, 0, 'BLUEG,CINCI,STHIN,MIAVA,CENIN']",-,-,-,"['Main Defender', 'Animosity', 1, 0, 0, 6]",-,-,Threads Of Azj-Kahet - Skibidi Supremacy War,31,Ongoing,[],TBD
6,-,-,"['Main Defender', 'TBD', 0, 1, 0, 3]","['Main Attacker', 'Conquest', 0, 1, 0, 0, 'BLUEG,CINCI,STHIN,MIAVA,CENIN']",-,-,-,"['Main Defender', 'Animosity', 1, 0, 0, 6]",-,-,Threads Of Azj-Kahet - Mississippi Trade Co. War,32,Ongoing,[],TBD
