Turn,0,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25,26,27
Filthy Imperialist,0,7.00,7.00,8.00,8.00,11.75,12.00,12.50,14.90,14.90,15.90,21.90,24.30,25.30,27.70,30.10,34.10,37.00,37.50,38.50,41.50,43.50,48.90,51.90,52.90,55.80,55.80,55.80,62.80,70.50,70.25
Techbro,0,8.40,9.40,10.40,11.40,13.40,13.40,17.40,17.40,17.40,17.40,23.40,32.40,32.40,34.80,40.00,43.00,48.60,49.60,56.00,63.00,82.00,82.00,82.00,82.00,80.75,81.25,81.25,83.25,86.25,85.00
Peak Cringeoid,0,9.00,9.00,9.00,9.00,9.50,9.25,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.25,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50
Bruh,0,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
